country_name,country_code,region,year,under_5_mortality_rate,life_expectancy,maternal_mortality_ratio,tuberculosis_incidence,dpt_immunization_pct,improved_sanitation_access_pct,health_exp_per_capita_usd
Zimbabwe,ZWE,Southern Africa,2014,9.621,58.106,157.0,278.0,92.3,12.0,46.81
Zimbabwe,ZWE,Southern Africa,2015,9.18,58.989,199.0,242.0,87.3,18.4,44.82
Zimbabwe,ZWE,Southern Africa,2016,8.816,59.76,146.0,233.0,88.3,10.0,39.83
Zimbabwe,ZWE,Southern Africa,2017,8.587,60.263,151.0,221.0,96.8,10.3,52.07
Zimbabwe,ZWE,Southern Africa,2018,8.321,60.906,169.0,210.0,98.0,29.6,47.76
Zimbabwe,ZWE,Southern Africa,2019,8.281,61.06,127.0,199.0,92.2,25.6,65.05
Zimbabwe,ZWE,Southern Africa,2020,8.138,61.53,152.0,189.0,99.9,24.6,56.18
Zimbabwe,ZWE,Southern Africa,2021,8.782,60.135,185.0,198.0,88.2,20.7,42.42
Zimbabwe,ZWE,Southern Africa,2022,7.779,62.36,109.0,209.0,96.6,32.2,58.59
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2010,11.654,56.411,192.0,500.0,89.3,10.0,36.18
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2011,11.367,56.911,190.0,490.0,92.2,10.0,28.92
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2012,11.113,57.35,197.0,480.0,95.8,11.0,28.53
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2013,10.844,57.795,153.0,471.0,91.4,10.0,41.41
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2014,10.595,58.236,148.0,461.0,93.8,16.2,43.63
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2015,10.349,58.658,181.0,452.0,100.0,10.0,38.22
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2016,10.076,59.081,173.0,443.0,93.1,24.6,40.69
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2017,9.867,59.495,169.0,434.0,100.0,21.8,49.8
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2018,9.647,59.926,168.0,426.0,90.5,21.8,35.15
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2019,9.46,60.242,144.0,417.0,98.9,28.8,37.14
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2020,9.31,60.428,161.0,409.0,100.0,35.0,44.96
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2021,9.38,60.044,166.0,401.0,83.9,28.3,48.09
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2022,8.93,60.979,138.0,392.0,92.4,10.0,58.0
Nigeria,NGA,West Africa,2010,14.36,51.315,267.0,219.0,97.1,10.0,21.33
Nigeria,NGA,West Africa,2011,14.203,51.49,238.0,219.0,93.3,10.0,16.03
Nigeria,NGA,West Africa,2012,14.019,51.688,203.0,219.0,96.2,10.0,6.84
Nigeria,NGA,West Africa,2013,13.864,51.827,239.0,219.0,91.4,10.0,8.94
Nigeria,NGA,West Africa,2014,13.736,51.94,205.0,219.0,94.9,10.0,5.0
Nigeria,NGA,West Africa,2015,13.656,51.939,240.0,219.0,93.8,10.0,9.51
Nigeria,NGA,West Africa,2016,13.408,52.189,246.0,219.0,100.0,10.0,8.06
Nigeria,NGA,West Africa,2017,13.192,52.397,204.0,219.0,96.0,10.0,15.21
Nigeria,NGA,West Africa,2018,12.952,52.669,238.0,219.0,96.5,10.0,5.07
Nigeria,NGA,West Africa,2019,12.679,53.009,224.0,219.0,92.9,10.0,20.24
Nigeria,NGA,West Africa,2020,12.586,53.072,232.0,219.0,92.5,10.0,30.69
Nigeria,NGA,West Africa,2021,12.306,53.455,250.0,219.0,92.9,10.0,16.19
Nigeria,NGA,West Africa,2022,11.953,54.079,202.0,219.0,97.2,10.0,24.41
"Somalia, Fed. Rep.",SOM,,2010,16.617,48.9,234.0,220.0,91.2,10.0,5.0
"Somalia, Fed. Rep.",SOM,,2011,32.124,32.453,363.0,204.0,88.6,10.0,5.0
"Somalia, Fed. Rep.",SOM,,2012,16.102,49.138,231.0,192.0,100.0,10.0,5.0
"Somalia, Fed. Rep.",SOM,,2013,12.893,54.016,206.0,187.0,99.2,10.0,20.21
"Somalia, Fed. Rep.",SOM,,2014,12.637,54.442,211.0,188.0,93.3,10.0,23.19
"Somalia, Fed. Rep.",SOM,,2015,12.292,55.056,205.0,187.0,100.0,10.0,17.55
"Somalia, Fed. Rep.",SOM,,2016,12.054,55.283,214.0,184.0,93.1,10.0,26.66
"Somalia, Fed. Rep.",SOM,,2017,14.073,52.19,223.0,182.0,84.2,10.0,15.93
"Somalia, Fed. Rep.",SOM,,2018,12.391,54.767,231.0,179.0,90.0,19.5,38.35
"Somalia, Fed. Rep.",SOM,,2019,10.908,57.249,177.0,175.0,86.3,10.0,45.84
"Somalia, Fed. Rep.",SOM,,2020,10.834,57.095,238.0,171.0,93.9,17.6,57.01
"Somalia, Fed. Rep.",SOM,,2021,11.3,55.703,207.0,167.0,95.6,10.0,20.84
"Somalia, Fed. Rep.",SOM,,2022,12.812,53.931,191.0,162.0,100.0,10.0,28.38
"Yemen, Rep.",YEM,,2010,5.586,67.223,81.0,45.0,99.4,63.1,87.95
"Yemen, Rep.",YEM,,2011,5.474,67.412,110.0,42.0,96.7,44.6,108.96
"Yemen, Rep.",YEM,,2012,5.425,67.569,95.0,47.0,100.0,64.8,79.76
"Yemen, Rep.",YEM,,2013,5.294,67.961,111.0,48.0,86.8,57.5,81.41
"Yemen, Rep.",YEM,,2014,5.29,68.003,105.0,43.0,99.1,47.5,84.02
"Yemen, Rep.",YEM,,2015,5.773,66.761,104.0,33.0,100.0,52.1,62.57
"Yemen, Rep.",YEM,,2016,5.647,67.105,86.0,40.0,90.3,56.2,80.27
"Yemen, Rep.",YEM,,2017,5.644,67.12,73.0,40.0,100.0,53.5,78.01
"Yemen, Rep.",YEM,,2018,6.114,65.915,104.0,39.0,99.2,31.1,81.08
"Yemen, Rep.",YEM,,2019,5.859,66.567,125.0,39.0,95.6,40.5,86.25
"Yemen, Rep.",YEM,,2020,5.832,66.435,113.0,33.0,100.0,43.8,100.94
"Yemen, Rep.",YEM,,2021,5.953,66.019,87.0,34.0,100.0,43.5,89.6
"Yemen, Rep.",YEM,,2022,5.232,67.952,100.0,36.0,98.8,56.8,83.99
